	Brain_MD_7	Brain_MD_59	Brain_MD_20	Brain_MD_21	Brain_MD_50	Brain_MD_49	Brain_MD_45	Brain_MD_43	Brain_MD_8	Brain_MD_42	Brain_MD_1	Brain_MD_4	Brain_MD_55	Brain_MD_41	Brain_MD_37	Brain_MD_3	Brain_MD_34	Brain_MD_29	Brain_MD_13	Brain_MD_24	Brain_MD_65	Brain_MD_5	Brain_MD_66	Brain_MD_67	Brain_MD_58	Brain_MD_53	Brain_MD_56	Brain_MD_16	Brain_MD_40	Brain_MD_35	Brain_MD_30	Brain_MD_23	Brain_MD_28	Brain_MD_60
L40399_at	29	154	10	98	36	10	40	10	10	112	29	10	10	10	393	51	51	10	10	45	209	237	313	263	10	10	10	83	42	10	10	10	10	167
L40400_at	16	283	10	92	10	53	48	90	10	40	99	14	212	84	212	124	170	267	24	140	343	273	148	146	74	79	78	17	117	56	10	10	10	118
L41147_at	81	10	10	163	17	10	73	39	10	10	103	10	56	10	158	115	161	10	10	261	25	212	10	104	10	61	10	61	67	10	138	10	362	194
L41559_at	10	268	66	108	10	12	49	10	10	10	275	20	325	90	11	110	95	32	145	261	10	193	195	97	39	77	45	81	67	106	82	42	50	123
L41939_at	101	10	130	10	198	114	10	205	94	93	10	10	10	128	185	10	56	177	45	174	10	10	112	205	106	41	52	79	149	69	155	193	92	10
L42354_at	10	10	304	324	313	104	16	363	10	90	132	140	80	10	10	10	181	538	132	181	10	10	10	42	254	70	10	33	10	10	80	14	13	10
L42563_at	91	238	133	183	232	31	126	164	10	10	49	112	115	10	10	187	114	10	169	134	81	179	92	10	72	88	191	66	80	10	196	211	139	10
L47345_at	28	481	133	163	81	84	10	10	10	77	79	10	19	249	10	56	10	10	16	10	81	276	268	10	90	71	28	86	138	108	71	161	51	199
L76200_at	203	10	10	10	329	10	271	10	220	456	643	113	905	10	10	940	1617	10	10	10	10	60	361	159	154	229	49	217	83	80	10	10	256	10
L77864_at	32	10	199	838	329	10	10	10	10	10	10	10	10	599	10	10	55	368	10	10	55	10	10	22	95	276	303	136	10	10	10	204	115	10
M10612_at	10	10	10	73	101	93	32	108	85	107	63	373	45	225	27	64	164	214	127	10	70	201	394	71	84	42	83	25	88	10	10	143	202	10
M11433_at	84	10	280	251	160	224	80	438	175	116	319	10	716	190	10	145	401	151	10	214	348	190	27	10	68	846	759	146	10	208	246	186	373	115
M11718_at	68	111	111	146	73	263	57	81	365	164	200	10	28	10	10	254	37	163	10	10	19	403	228	74	68	62	10	34	54	369	249	355	609	188
M11749_at	115	10	448	1131	192	37	87	115	1080	10	145	53	271	1031	10	222	233	139	52	292	10	1399	10	10	243	133	133	49	57	10	84	116	228	10
M12529_at	475	909	1321	3747	712	125	655	1867	1395	1041	2942	1403	257	273	10	1310	1930	1416	10	302	2549	727	409	61	479	3230	571	10	482	594	10	1520	4188	41
M13207_at	24	275	282	157	10	95	73	67	154	10	10	129	10	120	359	68	143	10	254	243	10	10	10	10	63	89	10	10	10	10	130	243	49	91
M14949_at	10	10	321	10	255	67	81	167	10	19	592	61	10	10	10	117	86	312	32	92	96	10	10	10	124	97	101	10	10	10	10	179	264	10
M15517_cds5_at	10	10	57	29	848	35	266	10	924	1925	1430	2329	10	36	10	534	29	32	675	226	10	10	303	6879	14128	32	10	10	10	10	10	10	14502	10
M15841_at	10	52	117	78	154	10	88	88	29	135	189	99	97	132	10	23	158	20	24	10	192	22	10	91	50	159	120	99	10	10	13	10	39	10
M16279_at	201	380	423	299	10	10	101	33	440	81	1292	386	213	10	10	375	979	10	256	331	390	257	185	10	299	429	162	125	149	169	373	671	1087	75
M16424_at	86	742	10	213	114	176	10	279	224	10	102	10	10	56	42	10	208	121	16	42	204	212	30	10	129	10	116	10	10	10	146	10	88	10
M17754_at	10	226	10	10	52	151	61	10	10	64	67	317	16	144	111	64	69	10	208	235	228	179	10	10	60	10	25	78	49	10	126	10	72	10
M18533_at	77	57	10	86	46	10	94	29	301	10	102	10	20	194	10	65	45	10	145	10	194	116	344	87	228	10	18	13	32	108	55	73	138	64
M19989_cds2_at	12	10	127	262	139	173	49	84	10	46	49	159	174	10	50	100	134	165	10	152	153	4143	135	55	10	45	528	55	287	293	188	297	122	129
M20681_at	10	568	12	229	10	67	10	202	10	10	439	88	19	90	366	10	68	58	10	98	136	276	40	10	83	53	232	42	153	67	10	10	84	10
M21389_at	162	10	259	50	254	10	175	21	151	22	14	158	97	116	10	10	32	10	117	144	283	60	10	39	128	105	107	29	10	41	194	172	34	10
M21551_rna1_at	10	10	10	10	35	128	26	44	110	10	1518	61	10	217	34	10	36	72	10	10	10	88	17	10	10	38	15	10	105	10	10	14	27	134
M21624_at	38	10	96	10	10	84	13	59	10	25	132	121	1105	112	111	25	1902	23	66	1439	57	35	45	94	148	127	1386	12	697	121	149	631	112	352
M21904_at	10	3924	108	10	158	10	10	10	37	10	433	10	10	10	10	10	10	10	10	10	10	688	153	10	10	10	235	10	99	10	296	107	10	10
M22960_at	168	10	184	304	266	10	519	246	58	124	741	10	10	10	10	311	408	83	204	186	491	10	10	10	52	265	437	183	10	289	10	335	318	10
M23161_at	10	10	49	62	26	10	120	81	10	77	143	87	65	136	10	58	148	10	48	102	125	41	170	71	48	51	101	36	57	54	211	121	102	10
M24351_cds2_at	28	211	144	17	21	12	107	780	115	10	26	52	10	410	10	31	47	559	26	33	125	44	90	55	138	10	31	12	129	10	32	33	69	10
M24400_at	57	81	15	244	10	10	10	10	260	10	10	10	87	10	23	10	10	10	13	127	10	1133	10	364	176	26	10	10	60	10	10	10	10	10
M24899_at	471	365	1746	804	805	265	874	1669	322	233	10	330	108	1033	753	64	368	2199	10	10	2863	82	497	1559	755	443	654	24	10	211	10	10	1446	10
M25280_at	10	119	163	168	52	10	98	35	185	84	77	36	10	92	10	10	89	67	10	108	179	129	10	94	153	85	174	39	108	10	10	10	90	63
M25753_at	42	81	45	98	32	47	89	10	20	43	127	57	183	10	65	116	161	10	10	103	46	116	195	10	143	64	22	71	169	10	10	261	53	56
M25756_at	10	10	33	108	77	10	40	33	95	117	77	10	57	3612	196	15	248	51	10	163	29	10	75	325	177	66	64	10	10	76	13	51	204	10
M25809_at	172	42	160	129	10	58	67	208	211	162	75	154	68	213	10	35	18	114	10	10	72	340	10	10	107	103	128	64	10	93	10	148	57	121
M26682_at	10	260	48	168	10	30	81	129	116	137	101	72	99	10	15	68	32	200	10	10	10	190	341	61	14	101	50	86	10	97	84	123	19	10
M27826_at	50	938	516	10	278	10	189	119	10	298	111	71	51	10	10	466	10	10	260	124	10	431	118	237	542	47	70	10	90	100	10	89	10	284
M28211_at	10	10	10	84	57	10	102	10	40	36	213	10	32	10	420	70	156	10	10	44	10	116	248	10	10	73	208	194	340	10	10	10	40	376
M28825_at	10	206	250	10	107	445	36	95	203	10	10	10	10	321	10	67	25	198	139	13	93	10	710	159	103	10	71	10	10	80	340	164	10	10
M29273_at	10	27	52	412	127	28	81	10	37	164	11	32	10	10	270	10	112	111	29	154	298	304	10	227	53	40	204	64	10	69	10	10	152	253
M29927_at	28	10	88	239	39	10	71	61	10	10	221	10	49	140	10	10	133	53	10	57	12	384	210	156	10	124	139	94	247	60	10	53	95	177
M31682_at	10	10	10	10	10	10	10	10	10	40	10	14	10	10	278	629	10	10	10	10	10	10	431	687	504	10	10	10	10	10	10	10	10	10
M32886_at	178	10	10	314	30	56	10	10	136	10	134	10	78	60	10	83	268	10	10	87	10	403	135	10	27	107	142	59	110	45	10	167	107	10
M34041_at	35	10	258	35	288	160	63	58	130	50	56	10	207	10	10	174	77	286	179	223	113	10	10	338	36	142	138	79	10	10	67	241	211	10
M34344_at	78	270	10	13	126	12	66	256	10	136	10	99	15	10	359	10	10	95	16	10	298	221	10	10	81	53	10	10	98	100	10	10	31	10
M35531_at	112	10	37	105	10	139	77	303	241	10	10	61	120	235	10	119	126	216	10	136	288	132	10	32	10	122	117	87	10	10	10	162	148	10
M37400_at	30	375	10	815	164	10	143	18	10	126	194	10	46	221	10	55	103	156	10	10	12	49	20	10	60	185	142	84	20	10	10	10	199	83
M38690_at	10	10	10	223	70	10	140	76	115	10	539	105	79	20	10	30	200	10	24	93	10	1009	30	123	10	38	34	10	54	32	10	17	116	66
M54927_at	10	52	111	1144	66	58	24	194	53	10	30	50	10	12	10	10	829	10	40	10	1099	290	27	10	33	93	27	22	51	39	10	52	65	10
M55210_at	48	10	87	55	75	68	86	10	233	10	335	10	53	40	10	10	36	23	34	10	21	235	92	10	65	112	217	210	246	43	148	271	93	289
M55621_at	27	10	148	147	80	162	10	10	151	127	94	398	66	10	10	126	10	118	104	195	10	10	10	120	308	26	10	26	10	17	161	56	256	10
M57293_at	10	10	309	32	10	47	181	1250	10	36	10	10	10	40	10	10	63	424	72	10	401	11	10	10	29	15	10	15	10	10	194	97	76	10
M57710_at	32	39	10	187	20	19	65	34	40	88	1593	10	34	122	10	85	246	90	10	71	10	237	10	10	10	173	340	24	10	150	19	178	147	52
M58285_at	168	976	586	335	751	227	667	1019	671	316	135	263	87	534	1065	41	200	717	171	150	328	10	10	10	174	149	663	39	10	91	615	661	143	10
M58459_at	365	218	282	32	831	10	404	187	68	177	1039	773	343	86	10	10	768	10	370	453	155	27	143	42	482	35	39	12	302	10	124	452	580	10
M59488_at	10	471	373	816	186	213	28	10	53	38	212	10	28	96	10	10	352	172	10	65	29	810	10	10	114	112	242	10	23	10	10	126	169	10
M59815_at	60	10	280	1610	450	330	76	10	224	335	287	237	379	66	10	266	436	10	359	452	213	10	10	10	153	360	1060	145	10	184	10	501	1298	10
M59911_at	43	293	118	125	115	10	143	190	214	41	98	28	10	10	10	38	133	186	29	136	183	318	190	74	10	65	32	55	93	10	10	153	74	166
M60299_at	10	10	12	10	109	10	10	38	10	109	10	10	10	10	10	10	10	10	10	10	10	2516	10	10	10	10	198	18	10	10	10	21	10	1433
M60721_at	10	10	10	10	10	10	10	10	10	669	10	3161	10	10	10	3873	10	10	10	10	10	10	10	10	496	10	10	10	10	50	10	10	35	10
M61764_at	77	10	408	71	23	51	40	10	61	246	466	10	316	219	10	175	455	41	10	10	83	10	10	10	143	251	12	104	10	10	10	10	188	10
M62843_at	308	10	16	10	136	137	197	10	10	562	10	10	10	10	509	10	56	10	10	10	10	44	10	179	10	272	347	317	309	152	10	217	379	458
M63573_at	354	10	10	10	185	10	76	10	10	284	1191	141	1334	10	10	160	1959	10	10	306	10	138	10	10	1376	354	10	352	10	10	10	10	262	10
M63582_at	48	10	78	198	86	58	139	10	10	37	10	19	10	10	10	10	148	10	10	10	542	10	10	48	10	158	36	25	229	10	10	131	424	10
M63904_at	10	1313	10	10	10	10	10	10	10	10	10	10	10	10	463	10	10	10	10	10	74	1664	1772	136	10	10	10	10	761	10	10	10	10	1339
M63967_at	10	203	198	129	109	10	68	324	155	52	61	29	151	10	10	179	115	76	10	112	269	44	135	45	223	63	108	56	32	87	10	10	97	10
M64082_at	59	551	10	10	30	26	25	10	23	95	35	10	13	38	131	21	10	25	10	10	578	229	90	169	105	28	10	10	131	115	80	10	10	172
M64099_at	10	268	10	10	118	10	160	16	146	112	10	10	10	10	10	44	72	174	10	10	10	141	10	179	10	10	353	10	64	265	10	491	830	68
M64572_at	10	74	288	199	370	10	46	10	10	27	49	258	43	10	10	120	77	10	168	10	183	30	10	19	10	129	10	37	10	10	10	10	140	10
M65066_at	10	842	10	1508	127	383	23	10	10	200	361	146	233	343	115	10	233	10	10	394	10	224	168	488	147	355	272	126	177	250	296	10	10	23
M68864_at	72	10	139	10	270	113	336	505	203	468	455	212	135	82	193	479	180	118	123	10	49	10	10	10	206	400	426	270	49	180	10	197	102	226
M68891_at	53	10	289	62	265	307	141	534	445	218	30	614	10	757	10	435	145	598	188	118	395	10	10	341	199	86	295	138	10	34	10	333	263	10
M73481_at	59	1078	121	154	92	38	10	10	52	55	54	217	47	114	154	206	10	74	10	32	330	298	564	237	86	168	10	10	170	71	376	10	20	374
M76424_at	154	10	298	329	10	10	266	255	226	10	207	10	262	10	10	10	360	10	10	10	204	1053	562	185	272	130	455	200	10	32	459	364	212	102
M79462_at	12	121	10	10	94	10	72	10	82	56	43	12	94	76	154	66	53	172	10	83	10	85	251	126	62	67	99	77	154	115	88	41	62	10
M80359_at	132	10	201	125	256	67	406	69	10	10	83	10	10	82	10	12	97	417	116	58	158	10	160	58	251	106	44	95	300	84	10	63	171	10
M81758_at	82	10	547	278	263	212	198	191	419	80	68	429	16	90	10	214	81	58	260	262	10	177	10	10	112	82	73	98	10	10	182	240	68	10
M81780_cds3_at	56	245	195	99	39	10	10	10	86	55	33	78	244	10	92	10	93	109	135	118	10	10	145	10	15	63	23	56	136	10	105	89	114	10
M81829_at	109	670	243	90	10	10	73	98	10	23	105	111	101	10	127	10	56	86	10	133	145	38	70	169	88	47	118	43	99	73	10	46	35	121
M83822_at	250	10	81	10	10	26	49	10	98	333	38	10	28	345	10	421	260	10	10	10	10	10	10	91	273	10	80	50	15	10	10	53	29	82
M85220_at	167	375	384	163	110	10	10	10	130	161	71	274	113	36	46	10	10	10	44	159	104	10	218	253	199	169	53	50	31	10	19	83	210	306
M85247_at	75	566	114	154	133	10	170	59	10	10	103	10	81	10	131	23	38	121	48	217	316	395	660	179	10	80	90	43	138	161	163	10	173	354
M85276_at	10	129	63	90	57	10	26	10	40	181	1252	10	60	14	54	10	104	10	10	55	202	146	10	10	14	34	74	33	62	10	10	44	10	30
M86852_at	10	10	90	68	89	10	119	10	26	55	98	107	71	36	10	15	189	69	111	121	179	10	238	104	122	45	110	53	10	56	10	69	17	55
M87434_at	24	10	181	154	173	19	77	10	104	114	40	59	10	10	111	10	100	181	57	76	113	94	22	22	131	60	122	62	73	10	10	124	50	98
M90299_at	10	10	381	317	350	500	297	233	526	218	157	179	262	178	69	169	251	563	103	75	337	10	10	10	185	146	312	236	10	300	263	412	69	10
M90657_at	10	10	109	10	10	38	10	71	26	10	1157	10	50	363	10	10	84	10	10	10	10	472	165	10	10	10	10	10	10	10	10	10	128	10
M91029_cds2_at	22	10	264	296	263	114	125	307	370	251	304	164	97	184	10	220	315	221	10	76	10	13	12	146	149	43	310	118	10	130	19	192	169	10
M91585_at	64	109	28	10	179	10	172	10	10	24	128	10	10	10	34	49	10	10	97	278	241	71	10	153	32	92	167	52	161	32	10	144	10	10
M92287_at	10	10	204	77	208	10	133	10	28	36	106	10	99	10	10	28	69	62	10	68	10	74	10	10	20	161	348	87	123	184	10	243	180	10
M94065_at	71	156	87	107	103	118	49	178	157	10	63	127	40	10	27	54	65	198	74	10	10	88	10	68	89	90	70	47	10	54	136	105	68	10
M94077_at	10	1117	10	10	56	10	10	10	10	10	10	10	57	10	235	10	10	10	10	10	10	221	236	110	10	10	10	26	62	10	10	10	10	207
M94167_at	172	1214	10	81	68	10	90	158	365	298	105	10	10	132	359	51	10	251	121	36	10	406	625	387	10	10	10	36	380	17	10	221	10	476
M95167_at	125	1778	2386	10	10	10	10	932	10	205	10	111	10	174	7109	10	10	727	10	60	2927	10	105	328	67	158	58	10	266	95	24	134	76	10
M95809_at	15	10	156	93	88	162	100	163	86	10	158	10	56	92	10	10	53	186	32	10	96	10	10	10	184	97	155	131	10	32	10	62	382	91
M95929_at	88	10	54	529	10	10	460	361	92	10	185	21	10	122	104	139	206	10	10	10	196	58	60	10	242	10	51	10	10	10	10	65	725	10
M96326_rna1_at	10	645	10	80	107	307	10	100	10	10	115	579	181	679	822	30	184	144	48	300	140	483	246	491	10	10	10	12	667	15	173	10	243	594
M96684_at	45	10	252	743	254	113	345	224	104	80	136	84	181	190	92	10	131	559	77	192	375	10	135	10	125	144	288	10	10	34	10	41	266	10
M96740_at	204	52	30	32	860	75	854	62	244	179	10	144	10	84	2174	21	89	95	183	58	10	116	268	446	10	768	42	279	467	21	74	359	512	1121
M97496_at	10	1207	67	10	10	10	10	10	10	27	10	10	78	10	494	10	10	10	10	80	10	373	278	68	10	10	67	10	395	10	42	51	10	272
M98343_at	126	10	577	242	791	19	331	142	403	139	330	10	10	10	177	100	106	223	468	302	104	10	10	247	76	174	340	75	10	10	126	338	63	10
M98528_at	204	447	301	265	429	10	81	252	64	10	28	10	62	10	332	18	116	300	50	10	128	10	472	162	10	79	128	42	86	60	10	65	166	39
S72904_at	87	86	153	138	189	40	342	65	10	10	10	126	10	134	254	10	26	146	60	10	140	22	193	136	135	88	34	17	54	43	24	32	43	10
S74445_at	39	683	121	220	187	10	184	205	10	63	144	10	22	225	10	10	10	240	93	156	388	215	306	10	10	56	89	837	198	10	399	26	10	476
S79639_at	25	10	343	385	263	125	422	143	188	89	241	10	215	323	54	333	181	242	173	252	194	44	10	10	228	103	283	151	120	341	10	284	234	15
S82240_at	10	99	100	187	81	183	54	14	61	68	190	10	10	335	19	73	269	128	256	87	153	10	723	10	111	341	585	284	343	63	263	778	358	162
S85655_at	154	10	25	10	10	10	10	94	158	165	612	10	257	10	10	131	74	10	10	10	104	116	10	10	10	72	161	89	123	56	10	10	251	10
S95936_at	10	10	153	1034	10	10	49	152	79	33	10	10	28	30	10	39	828	10	10	107	424	210	37	10	35	95	44	11	10	100	10	26	10	14
U02019_at	56	10	79	22	75	22	49	39	10	10	26	134	26	24	208	10	77	309	10	86	10	116	118	205	103	109	50	10	142	32	78	119	10	66
U02031_at	306	10	226	414	136	56	216	10	179	10	33	417	170	62	10	135	177	10	421	10	72	80	10	58	230	574	588	277	191	10	10	237	390	566
U03634_at	10	178	94	108	133	10	118	202	10	43	122	109	148	10	10	125	55	86	120	187	155	10	87	10	52	61	129	85	38	23	186	42	67	53
U04270_at	107	129	78	144	37	30	139	10	10	113	10	10	10	10	10	154	95	10	355	26	10	204	386	68	172	10	65	46	27	10	10	10	10	10
U04847_at	68	322	99	125	122	10	133	10	10	55	10	10	100	10	127	145	50	25	125	143	10	188	115	205	68	54	102	42	98	10	132	82	17	63
U06088_at	10	221	69	159	10	10	52	10	10	71	96	10	10	142	10	75	85	10	10	91	10	348	321	10	112	37	10	13	57	126	10	10	107	10
U07620_at	51	22	28	549	10	42	10	10	47	10	96	84	125	227	223	10	363	10	10	151	192	199	47	71	120	113	601	285	51	26	53	367	16	137
U07919_at	33	49	13	499	90	667	195	10	10	143	234	10	57	10	208	144	92	102	89	97	74	154	77	117	10	105	2216	183	1244	443	824	437	63	571
U08336_at	62	10	93	114	149	75	86	18	20	84	10	29	10	126	131	214	106	104	100	10	249	74	50	146	169	53	120	12	68	41	10	10	10	295
U08377_at	52	10	88	102	144	169	154	165	10	28	139	211	111	10	166	134	131	228	157	83	273	10	112	16	10	121	158	88	10	10	10	132	45	118
U09002_at	75	10	156	353	115	10	182	59	139	137	138	10	49	10	10	20	200	10	111	12	177	102	231	91	136	130	165	68	220	50	328	184	79	10
U09366_at	59	10	141	116	376	10	132	88	103	21	98	14	12	98	10	89	145	10	93	118	320	10	70	10	116	88	413	40	147	10	10	110	101	94
U09550_at	10	1058	10	10	10	10	10	10	10	10	10	10	19	10	30	65	44	10	10	10	10	517	477	84	10	10	10	10	164	180	10	11	10	159
U09579_at	26	10	10	10	143	190	212	10	469	10	312	57	10	130	10	170	122	10	10	75	10	10	10	410	111	29	10	26	34	10	92	121	226	10
U09770_at	142	10	15	192	10	339	10	270	205	183	150	415	70	10	579	627	10	72	367	245	10	326	168	192	197	176	120	59	354	263	171	10	150	425
U10117_at	14	10	10	77	25	10	10	115	19	10	173	10	1553	70	27	31	289	10	76	213	19	10	10	10	35	66	102	111	10	10	10	51	64	10
U10324_at	110	101	187	192	255	10	412	307	134	10	207	13	26	10	200	10	198	111	10	88	478	10	160	169	130	173	526	227	224	10	10	119	136	10
U10991_at	10	255	10	366	159	153	107	216	190	74	10	160	125	235	447	144	144	27	10	10	266	1006	333	48	44	174	180	165	352	165	182	81	10	767
U11701_at	321	501	205	10	205	10	177	1028	10	10	94	10	10	168	718	15	59	379	10	10	625	10	10	10	765	14	53	10	10	10	10	10	10	10
U13220_at	10	377	39	11	134	10	86	73	302	184	10	41	10	66	10	10	143	142	10	55	55	221	135	16	296	94	223	10	93	21	10	175	182	352
U13616_at	37	49	16	320	165	10	98	107	52	10	50	10	10	164	46	10	10	39	52	62	91	63	20	29	16	177	10	46	328	10	161	117	109	673
U13948_at	25	613	10	10	38	79	55	160	79	51	55	53	67	10	10	15	81	174	10	10	49	88	12	146	74	42	67	33	77	10	65	21	10	45
U13991_at	165	258	141	10	52	70	11	10	209	23	430	45	81	10	166	226	187	10	10	320	10	218	10	16	136	253	150	82	127	128	276	37	60	219
U14383_at	10	139	10	64	127	77	83	14	10	37	98	188	42	10	115	10	10	10	92	157	10	179	123	218	24	62	61	43	31	21	309	79	10	109
U15131_at	37	10	210	225	325	10	96	10	145	10	342	320	10	30	61	171	314	100	82	202	10	102	50	159	63	10	107	10	10	10	10	31	223	10
U15655_at	30	213	10	211	10	10	10	10	70	10	205	10	114	10	10	10	191	10	200	313	21	304	198	10	21	125	421	18	56	45	40	39	27	58
U16660_at	174	377	195	65	230	157	564	333	47	314	832	10	145	10	10	129	395	552	10	10	288	88	163	123	242	277	389	238	72	104	10	10	360	120
U16861_at	18	516	10	22	10	159	60	10	10	27	14	179	87	10	142	53	53	20	33	10	10	279	123	10	99	22	36	10	10	54	274	10	31	31
U17077_at	21	10	10	10	10	15	10	10	58	10	15	10	26	1803	10	54	10	10	10	10	10	10	10	10	91	10	10	10	10	10	10	10	120	10
U17195_at	21	10	10	10	43	88	38	10	10	19	41	10	288	182	10	12	562	10	28	108	10	94	32	10	139	121	186	339	101	47	105	56	39	10
U17566_at	34	141	129	120	95	10	138	10	10	10	112	10	10	46	10	10	61	10	10	10	72	41	321	126	53	229	143	10	142	58	10	10	68	155
U18018_at	225	404	120	10	250	381	117	72	10	16	67	148	10	259	10	10	244	340	88	318	655	10	10	39	10	248	212	41	10	143	582	10	224	10
U18237_at	10	173	87	159	92	61	56	110	203	88	41	280	10	148	15	29	62	247	109	10	147	11	10	71	68	75	77	109	41	34	10	45	185	10
U18244_at	10	531	10	1351	10	10	230	70	10	10	57	10	10	10	10	10	10	104	76	10	10	177	208	10	10	143	10	25	10	65	90	10	463	10
U18288_at	12	434	111	37	89	10	47	10	10	154	29	204	86	217	92	45	16	10	10	63	166	60	10	126	120	32	50	15	10	10	124	10	82	107
U18321_at	32	10	151	37	10	61	39	10	83	137	135	10	10	460	10	335	102	65	224	63	10	30	10	39	79	64	84	110	27	39	10	24	69	10
U18671_rna1_at	35	310	138	125	40	10	118	170	44	10	67	10	10	10	142	75	25	139	117	137	64	77	10	10	163	62	114	37	10	10	10	18	10	28
U19718_at	158	270	10	117	10	10	159	10	10	614	43	10	420	10	641	10	909	10	73	552	10	10	125	266	264	10	564	10	140	10	10	301	134	447
U20391_rna6_at	10	534	10	10	10	10	10	10	53	10	10	10	10	10	285	10	10	221	10	10	10	298	627	104	10	10	10	10	131	10	10	135	10	10
U20758_rna1_at	68	10	22	184	57	42	16	248	38	94	215	163	118	110	146	140	277	125	111	35	339	508	303	78	10	103	10	10	13	10	23	85	79	88
U20979_at	137	10	91	17	257	49	93	10	58	129	115	100	92	10	10	120	243	300	101	281	382	99	60	10	135	28	25	64	43	10	169	38	10	52
U21049_at	72	278	171	10	52	49	63	384	157	60	95	161	10	337	212	139	58	274	36	71	168	10	10	10	267	53	59	10	10	58	10	144	10	10
U21090_at	294	10	126	53	182	72	84	15	175	402	473	142	297	10	10	341	276	10	133	249	164	44	95	270	15	194	362	419	10	191	153	401	190	10
U21128_at	56	10	51	10	28	60	59	99	290	10	88	47	21	10	10	1059	70	83	38	10	49	102	351	45	122	22	94	47	16	313	667	377	831	99
U23070_at	10	10	120	70	10	10	66	10	17	10	495	88	62	10	173	10	419	58	10	83	108	279	223	10	61	23	33	10	10	10	10	10	86	18
U24169_at	200	10	10	10	107	10	97	51	10	169	410	10	344	10	10	10	311	10	10	10	10	10	143	257	10	128	90	44	10	10	10	99	10	10
U24576_at	54	10	10	19	40	88	65	10	62	55	10	36	11	36	169	161	108	81	25	14	100	306	10	52	32	205	490	41	672	65	824	76	59	234
U25182_at	67	186	33	10	50	12	85	187	10	109	205	27	111	66	10	345	261	95	61	140	10	157	20	10	101	80	80	133	117	10	184	137	65	10
U25265_at	134	471	10	10	304	100	204	208	22	10	16	77	17	58	100	61	59	237	143	86	264	10	384	35	10	10	94	10	280	15	242	154	10	10
U26032_at	13	255	55	81	77	31	88	130	22	10	28	106	127	94	243	62	107	118	10	10	10	41	125	104	10	47	59	23	86	10	107	10	10	60
U26726_at	47	10	42	156	204	295	102	10	10	204	10	10	274	10	115	10	103	10	10	103	10	82	10	45	52	47	814	165	206	278	448	88	34	93
U26914_at	54	255	180	17	65	10	275	172	59	24	10	26	10	102	359	10	31	81	96	10	10	207	331	126	78	16	57	10	57	15	10	44	105	33
U27193_at	229	10	10	290	266	10	131	10	19	164	66	56	10	339	235	44	65	10	84	10	10	110	341	97	169	83	136	135	91	10	10	17	70	279
U27655_at	10	10	10	281	77	10	10	10	10	72	124	10	38	10	169	10	163	10	10	67	10	96	10	65	17	121	272	50	83	200	80	55	311	10
U28281_at	87	233	10	107	10	121	62	137	64	64	72	63	107	110	50	151	57	412	10	10	356	58	10	97	442	10	27	31	42	34	196	10	337	10
U28369_at	104	310	10	216	104	10	31	10	10	48	264	117	109	10	154	10	111	10	10	213	187	10	135	22	10	60	124	46	10	139	26	10	54	80
U28831_at	100	19	18	293	102	10	367	10	58	289	220	10	165	76	366	54	257	195	10	16	435	66	72	198	210	218	61	118	217	311	51	124	164	155
U29589_at	10	193	205	13	10	42	374	449	67	201	10	154	107	233	100	68	61	121	10	10	226	10	10	42	53	10	10	24	10	10	10	10	133	83
U29725_at	149	491	10	10	10	10	116	33	38	96	196	10	10	10	57	10	66	34	50	43	29	412	600	237	194	112	141	100	113	10	10	26	58	170
U30246_at	10	635	25	47	10	10	97	57	20	31	67	43	10	66	10	37	103	32	70	26	10	345	416	68	10	31	47	37	10	13	65	20	76	10
U30999_at	35	280	10	68	10	26	10	10	10	18	635	10	57	22	69	10	1785	27	10	452	10	517	10	71	10	19	10	10	10	50	10	55	97	155
U31099_at	41	201	99	192	92	10	11	186	73	11	10	10	22	10	127	90	10	207	18	50	128	154	90	94	10	52	56	33	109	102	165	97	10	118
U32659_at	105	111	79	126	10	10	67	56	10	10	19	206	51	60	266	10	29	10	10	42	76	326	183	113	43	77	57	53	220	32	10	75	38	128
U33147_at	60	10	21	84	285	60	79	219	142	10	55	131	67	10	181	96	149	130	222	71	10	13	150	81	10	17	84	66	10	52	121	82	10	10
U33920_at	70	233	300	10	63	68	263	103	62	49	10	10	10	10	10	10	19	270	10	10	134	10	72	10	184	87	45	71	106	73	10	170	45	90
U35113_at	348	10	319	38	244	346	595	10	10	340	245	10	71	10	227	301	163	10	211	433	230	10	256	78	121	591	736	391	336	167	10	10	10	382
U35139_at	10	10	108	10	49	10	143	142	10	10	175	28	67	261	10	75	144	41	10	10	183	102	10	97	10	93	21	10	75	134	10	24	124	200
U36221_at	57	10	342	107	115	24	268	19	74	117	135	74	32	215	10	64	41	174	266	214	196	1308	464	442	238	10	10	10	72	100	21	179	163	1216
U36448_at	10	524	249	13	73	10	449	199	10	173	10	26	10	257	162	10	137	487	10	10	271	10	738	563	48	10	10	10	10	10	10	10	119	58
U37219_at	10	10	10	10	26	240	160	10	320	10	73	452	27	365	177	252	95	10	147	10	324	82	911	227	10	10	293	106	1633	402	82	323	299	20
U37529_at	24	64	10	19	23	30	10	27	10	3208	10	41	10	10	10	46	88	10	10	10	14	10	2551	10	221	39	10	10	10	10	10	10	48	10
U38480_at	104	909	100	29	251	10	12	232	10	102	20	192	185	10	617	47	11	10	10	74	303	602	773	397	25	96	10	10	348	250	351	10	74	158
